DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.252482	25	2	1	1	12	2	1	0	730	0	0	39.3596	0	0
DL	0.252732	25	2	2	1	12	2	1	0	730	0	0	39.3523	0	0
DL	0.252982	25	2	3	1	12	2	1	0	730	0	0	39.3655	0	0
DL	0.253232	25	3	0	1	12	2	1	0	25224	28	0	39.3425	0	0
DL	0.253482	25	3	1	1	12	2	1	0	25224	28	0	39.3358	0	0
DL	0.253714	25	3	2	1	11	2	1	0	23120	28	0	39.2907	0	0
UL	0.253732	25	3	2	12	1	2	1	0	58	0	0	39.2499 	0	0
DL	0.253929	25	3	3	1	9	2	1	0	18918	28	0	39.2489	0	0
UL	0.253946	25	3	3	10	1	2	1	0	58	0	0	39.2712 	0	0
DL	0.254143	25	4	0	1	7	2	1	0	14713	28	0	39.267	0	0
UL	0.254161	25	4	0	8	1	2	1	0	58	0	0	39.2598 	0	0
DL	0.254393	25	4	1	1	7	2	1	0	14713	28	0	39.2208	0	0
DL	0.254643	25	4	2	1	7	2	1	0	14713	28	0	39.2641	0	0
DL	0.254893	25	4	3	1	7	2	1	0	14713	28	0	39.2553	0	0
DL	0.255143	25	5	0	1	7	2	1	0	14713	28	0	39.24	0	0
DL	0.255393	25	5	1	1	7	2	1	0	14713	28	0	39.1981	0	0
DL	0.255643	25	5	2	1	7	2	1	0	14713	28	0	39.2656	0	0
DL	0.255893	25	5	3	1	7	2	1	0	14713	28	0	39.2881	0	0
DL	0.256143	25	6	0	1	7	2	1	0	14713	28	0	39.2491	0	0
DL	0.256393	25	6	1	1	7	2	1	0	14713	28	0	39.2402	0	0
DL	0.256643	25	6	2	1	7	2	1	0	14713	28	0	39.3023	0	0
DL	0.256893	25	6	3	1	7	2	1	0	14713	28	0	39.2882	0	0
DL	0.257143	25	7	0	1	7	2	1	0	14713	28	0	39.3139	0	0
DL	0.257393	25	7	1	1	7	2	1	0	14713	28	0	39.3242	0	0
DL	0.257643	25	7	2	1	7	2	1	0	14713	28	0	39.299	0	0
DL	0.257893	25	7	3	1	7	2	1	0	14713	28	0	39.3633	0	0
DL	0.258143	25	8	0	1	7	2	1	0	14713	28	0	39.2938	0	0
DL	0.258393	25	8	1	1	7	2	1	0	14713	28	0	39.2613	0	0
DL	0.258643	25	8	2	1	7	2	1	0	14713	28	0	39.2815	0	0
DL	0.258893	25	8	3	1	7	2	1	0	14713	28	0	39.2805	0	0
DL	0.259143	25	9	0	1	7	2	1	0	14713	28	0	39.3167	0	0
DL	0.259393	25	9	1	1	7	2	1	0	14713	28	0	39.3052	0	0
DL	0.259643	25	9	2	1	7	2	1	0	14713	28	0	39.296	0	0
DL	0.259893	25	9	3	1	7	2	1	0	14713	28	0	39.3016	0	0
DL	0.260143	26	0	0	1	7	2	1	0	14713	28	0	39.2939	0	0
DL	0.260393	26	0	1	1	7	2	1	0	14713	28	0	39.3015	0	0
DL	0.260643	26	0	2	1	7	2	1	0	14713	28	0	39.2585	0	0
DL	0.260893	26	0	3	1	7	2	1	0	14713	28	0	39.23	0	0
DL	0.261143	26	1	0	1	7	2	1	0	14713	28	0	39.1156	0	0
DL	0.261393	26	1	1	1	7	2	1	0	14713	28	0	39.0799	0	0
DL	0.261643	26	1	2	1	7	2	1	0	14713	28	0	39.0847	0	0
DL	0.261893	26	1	3	1	7	2	1	0	14713	28	0	39.0794	0	0
DL	0.262143	26	2	0	1	7	2	1	0	14713	28	0	39.0292	0	0
DL	0.262393	26	2	1	1	7	2	1	0	14713	28	0	39.0409	0	0
DL	0.262643	26	2	2	1	7	2	1	0	14713	28	0	39.0192	0	0
DL	0.262893	26	2	3	1	7	2	1	0	14713	28	0	39.0186	0	0
